"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2003","Ernie Young","Tigers","5","15","0","0","0","0","26.7 %","33.3 %",".000",".333",".182",".400",".182",".307","87","-1.2","-1.4","-0.4","-0.1","79"
"2008","Luke Carlin","Padres","36","105","1","12","6","0","9.5 %","32.4 %",".085",".220",".149",".238",".234",".222","34","0.2","-8.5","3.8","-0.1","4666"
"2000","Morgan Ensberg","Astros","4","7","0","0","0","0","0.0 %","14.3 %",".000",".333",".286",".286",".286",".257","40","0.0","-0.6","-1.0","-0.1","556"
"2006","Damion Easley","Diamondbacks","90","220","9","24","28","1","9.5 %","13.6 %",".185",".230",".233",".323",".418",".324","86","-0.2","-4.1","-4.6","-0.1","464"
"2006","Wil Nieves","Yankees","6","6","0","0","0","0","0.0 %","16.7 %",".000",".000",".000",".000",".000",".000","-100","0.0","-1.7","0.2","-0.1","1556"
"2005","Curtis Pride","Angels","11","11","0","2","0","0","0.0 %","36.4 %",".091",".143",".091",".091",".182",".114","-43","0.0","-1.9","0.3","-0.1","1762"
"2008","Tony Clark","- - -","108","184","3","12","24","0","16.8 %","29.9 %",".093",".330",".225",".359",".318",".315","90","-3.5","-5.8","-1.4","-0.1","182"
"2000","Eric Munson","Tigers","3","5","0","0","1","0","0.0 %","20.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-1.5","-0.1","-0.1","481"
"2001","Kevin Young","Pirates","142","507","14","53","65","15","8.3 %","23.5 %",".167",".280",".232",".310",".399",".307","82","-1.8","-13.8","-4.3","-0.1","1018"
"2003","Mark Budzinski","Reds","4","7","0","0","0","0","0.0 %","57.1 %",".000",".000",".000",".000",".000",".000","-100","0.0","-2.0","0.4","-0.1","1789"
"2006","Henry Mateo","Nationals","22","29","1","5","3","0","6.9 %","10.3 %",".192",".136",".154",".214",".346",".241","41","0.8","-1.4","-0.9","-0.1","1461"
"2004","Sandy Martinez","- - -","4","6","0","0","0","0","0.0 %","50.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-1.7","0.2","-0.1","784"
"2004","Jason Romano","- - -","26","37","1","3","4","0","5.4 %","32.4 %",".088",".190",".147",".194",".235",".193","6","0.3","-4.2","1.6","-0.1","1278"
"2005","Josh Wilson","Marlins","11","11","0","2","0","0","0.0 %","36.4 %",".100",".167",".100",".182",".200",".180","3","0.0","-1.3","-0.3","-0.1","2102"
"2001","Ron Coomer","Cubs","111","386","8","25","53","0","7.5 %","18.1 %",".129",".300",".261",".316",".390",".307","84","0.0","-8.3","-5.5","-0.1","816"
"2009","Niuman Romero","Indians","10","15","0","2","0","0","6.7 %","33.3 %",".000",".222",".143",".200",".143",".166","-10","0.2","-1.9","0.0","-0.1","5063"
"2009","Willie Bloomquist","Royals","125","468","4","52","29","25","5.8 %","15.6 %",".090",".309",".265",".308",".355",".294","72","3.1","-13.1","-4.2","-0.1","1066"
"2009","Chris Shelton","Mariners","9","28","0","1","4","0","7.1 %","39.3 %",".077",".400",".231",".286",".308",".268","60","0.1","-1.3","-1.0","-0.1","1891"
"2001","Chad Mottola","Marlins","5","10","0","1","1","0","20.0 %","20.0 %",".000",".000",".000",".200",".000",".141","-22","0.0","-1.6","-0.1","-0.1","1315"
"2003","Morgan Burkhart","Royals","6","16","0","1","1","0","6.3 %","12.5 %",".000",".231",".200",".250",".200",".211","15","0.0","-1.7","-0.2","-0.1","1745"
"2004","Matt Cepicky","Expos","32","61","1","4","3","1","1.6 %","29.5 %",".117",".293",".217",".230",".333",".242","36","0.3","-4.8","1.4","-0.1","1562"
"2005","Vance Wilson","Tigers","61","173","3","18","19","0","6.4 %","15.0 %",".086",".216",".197",".275",".283",".255","52","-0.5","-10.6","3.5","-0.1","903"
"2007","Robby Hammock","Diamondbacks","34","49","0","5","0","0","6.1 %","14.3 %",".044",".289",".244",".306",".289",".274","53","-0.3","-3.3","0.3","-0.1","1686"
"2007","Lew Ford","Twins","55","130","3","13","14","3","8.5 %","18.5 %",".129",".270",".233",".315",".362",".305","83","0.2","-2.6","-3.2","-0.1","1724"
"2003","Alex Prieto","Twins","8","11","0","1","0","0","0.0 %","36.4 %",".000",".143",".091",".091",".091",".081","-68","0.0","-2.3","0.6","-0.1","1778"
"2003","Pat Borders","Mariners","12","15","0","1","1","0","6.7 %","33.3 %",".071",".222",".143",".200",".214",".190","10","-0.1","-1.8","-0.1","-0.1","1068"
"2003","David Dellucci","- - -","91","248","3","26","23","12","9.3 %","23.4 %",".125",".293",".227",".313",".352",".296","71","3.4","-5.7","-3.9","-0.1","1402"
"2009","Xavier Nady","Yankees","7","29","0","4","2","0","3.4 %","20.7 %",".143",".364",".286",".310",".429",".321","88","0.1","-0.3","-2.0","-0.1","1658"
"2001","Casey Blake","- - -","19","41","1","3","4","3","9.8 %","29.3 %",".108",".333",".243",".317",".351",".289","73","0.6","-0.8","-2.0","-0.1","719"
"2006","Mitch Maier","Royals","5","15","0","3","0","0","13.3 %","26.7 %",".000",".222",".154",".267",".154",".213","19","-0.2","-1.8","-0.1","-0.1","5588"
"2003","Jeremy Giambi","Red Sox","50","156","5","15","15","1","16.7 %","26.9 %",".157",".250",".197",".342",".354",".319","90","0.0","-2.0","-4.8","-0.1","913"
"2004","Greg Myers","Blue Jays","8","20","0","0","1","0","10.0 %","20.0 %",".111",".286",".222",".300",".333",".284","64","-1.3","-2.2","0.2","-0.1","933"
"2006","Andy Green","Diamondbacks","73","102","1","15","6","1","12.7 %","19.6 %",".081",".231",".186",".293",".267",".262","46","0.5","-6.7","1.9","-0.1","2991"
"2008","Sean Kazmar","Padres","19","46","0","2","2","0","10.9 %","30.4 %",".026",".308",".205",".289",".231",".246","50","0.6","-2.3","-0.5","-0.1","7349"
"2002","Alexis Gomez","Royals","5","10","0","0","0","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".178","-8","0.0","-1.3","-0.4","-0.1","1501"
"2007","Humberto Quintero","Astros","29","57","0","2","1","0","3.5 %","22.8 %",".038",".300",".226",".281",".264",".244","40","-1.1","-5.6","2.3","-0.1","1824"
"2000","Charlie Greene","Blue Jays","3","9","0","0","0","0","0.0 %","55.6 %",".000",".250",".111",".111",".111",".100","-60","0.0","-1.9","0.2","-0.1","1004987"
"2004","Alexis Gomez","Royals","13","31","0","1","4","0","6.5 %","25.8 %",".034",".381",".276",".323",".310",".287","63","0.0","-1.5","-1.0","-0.1","1501"
"2007","Nelson Cruz","Rangers","96","333","9","35","34","2","6.3 %","26.1 %",".150",".297",".235",".287",".384",".294","71","-0.7","-13.0","0.0","-0.1","2434"
"2003","Bubba Crosby","Dodgers","9","12","0","0","1","0","0.0 %","25.0 %",".000",".111",".083",".083",".083",".074","-64","0.0","-2.5","0.8","-0.1","1722"
"2009","Chris Carter","Red Sox","4","6","0","0","1","0","0.0 %","66.7 %",".000",".000",".000",".000",".000",".000","-100","0.1","-1.6","0.0","-0.1","7707"
"2007","Juan Rivera","Angels","14","44","2","3","8","0","2.3 %","9.1 %",".163",".270",".279",".295",".442",".319","91","-1.2","-1.7","-1.2","-0.1","843"
"2003","Kelly Stinnett","- - -","67","207","3","14","19","0","6.8 %","25.1 %",".118",".311",".237",".302",".355",".287","67","-2.0","-10.7","2.5","-0.1","356"
"2001","Shea Hillenbrand","Red Sox","139","493","12","52","49","3","2.6 %","12.4 %",".128",".278",".263",".291",".391",".292","73","-1.2","-17.8","-0.7","-0.1","196"
"2003","Mark Johnson","Athletics","13","33","0","3","3","0","9.1 %","12.1 %",".037",".125",".111",".219",".148",".184","2","0.8","-3.2","0.7","-0.1","240"
"2008","Jose Cruz","Astros","38","60","0","6","1","0","18.3 %","15.0 %",".020",".150",".122",".283",".143",".226","30","0.9","-4.4","1.1","-0.1","1296"
"2001","Jarrod Patterson","Tigers","13","43","2","6","4","0","0.0 %","9.3 %",".220",".257",".268",".302",".488",".336","108","-0.4","0.0","-2.8","-0.1","486"
"2006","Jeff Salazar","Rockies","19","67","1","13","8","2","16.4 %","23.9 %",".132",".378",".283",".409",".415",".358","105","1.5","1.9","-5.6","-0.1","4507"
"2006","Jason Botts","Rangers","20","60","1","8","6","0","13.3 %","30.0 %",".140",".303",".220",".317",".360",".292","67","0.4","-2.2","-1.4","-0.1","2907"
"2002","Mark Johnson","Mets","42","61","1","5","4","0","14.8 %","29.5 %",".137",".188",".137",".267",".275",".253","51","0.8","-2.9","-0.5","-0.1","1376"
"2005","Chris Prieto","Angels","2","3","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.8","-0.7","-0.1","2255"
"2004","Scott Spiezio","Mariners","112","415","10","38","41","4","8.7 %","14.5 %",".131",".228",".215",".288",".346",".279","67","-1.2","-18.6","3.0","-0.1","37"
"2006","Kevin Frandsen","Giants","41","102","2","12","7","0","2.9 %","13.7 %",".108",".234",".215",".284",".323",".274","58","0.1","-5.5","0.7","-0.1","7528"
"2004","J.R. House","Pirates","5","9","0","1","0","0","0.0 %","22.2 %",".111",".143",".111",".111",".222",".138","-30","-0.4","-1.9","0.2","-0.1","992"
"2000","Jeff Branson","Dodgers","18","18","0","3","0","0","5.6 %","33.3 %",".059",".364",".235",".278",".294",".259","51","0.0","-1.2","-0.8","-0.1","1001355"
"2004","David McCarty","Red Sox","91","168","4","24","17","1","8.3 %","23.8 %",".146",".324",".258",".327",".404",".321","89","-0.8","-3.2","-4.0","-0.1","1462"
"2000","Ron Coomer","Twins","140","589","16","64","82","2","6.1 %","8.5 %",".145",".271",".270",".317",".415",".319","81","0.5","-14.8","-8.0","-0.1","816"
"2006","Terrence Long","Yankees","12","40","0","6","2","0","10.0 %","20.0 %",".028",".214",".167",".250",".194",".213","19","0.9","-3.3","0.4","-0.1","927"
"2002","Jose Leon","Orioles","36","93","3","8","10","1","3.2 %","21.5 %",".124",".288",".247",".280",".371",".286","73","-0.2","-3.3","-1.3","-0.1","149"
"2004","Ramon Nivar","Rangers","7","21","0","3","4","1","0.0 %","33.3 %",".000",".333",".222",".211",".222",".187","-4","0.2","-2.6","0.5","-0.1","1781"
"2006","Joe McEwing","Astros","7","6","0","0","0","0","0.0 %","33.3 %",".000",".000",".000",".000",".000",".000","-100","0.0","-1.7","0.1","-0.1","887"
"2009","Michael Saunders","Mariners","46","129","0","13","4","4","4.7 %","31.0 %",".057",".329",".221",".258",".279",".241","42","0.3","-9.1","3.2","-0.1","9981"
"2003","Mike Kinkade","Dodgers","88","191","5","25","14","1","6.8 %","19.9 %",".136",".252",".216",".335",".352",".311","90","-1.1","-3.5","-4.2","-0.1","660"
"2005","Scott McClain","Cubs","13","16","0","1","1","0","12.5 %","12.5 %",".071",".167",".143",".250",".214",".222","24","-0.2","-1.7","-0.2","-0.1","8951"
"2006","JD Closser","Rockies","32","112","2","10","11","0","10.7 %","20.5 %",".113",".233",".196",".288",".309",".262","42","0.2","-8.3","3.1","-0.1","2108"
"2009","Joe Inglett","Blue Jays","36","99","0","11","6","3","8.1 %","21.2 %",".067",".368",".281",".347",".348",".315","87","1.2","-0.4","-4.4","-0.1","7254"
"2006","Erick Aybar","Angels","34","40","0","5","2","1","0.0 %","20.0 %",".075",".313",".250",".250",".325",".248","43","0.7","-2.3","-0.6","-0.1","4082"
"2004","Fernando Vina","Tigers","29","131","0","21","7","2","6.9 %","6.9 %",".043",".243",".226",".308",".270",".269","60","-1.1","-7.8","1.9","-0.1","1189"
"2002","Paul Hoover","Devil Rays","5","17","0","1","2","0","0.0 %","29.4 %",".000",".250",".176",".176",".176",".157","-15","0.1","-2.3","0.3","-0.1","1212"
"2006","Mike Edwards","Pirates","14","18","0","1","0","0","5.6 %","27.8 %",".000",".273",".188",".235",".188",".199","11","-0.4","-2.5","0.4","-0.1","1850"
"2008","Michel Hernandez","Rays","5","15","0","2","0","0","0.0 %","20.0 %",".000",".250",".200",".200",".200",".179","1","0.0","-1.8","-0.1","-0.1","1835"
"2001","Chris Woodward","Blue Jays","37","66","2","9","5","0","1.5 %","21.2 %",".206",".213",".190",".203",".397",".249","44","-0.4","-5.1","1.3","-0.1","1329"
"2005","Adam Hyzdu","- - -","29","43","0","2","4","1","11.6 %","16.3 %",".056",".233",".194",".286",".250",".249","48","0.6","-2.2","-0.7","-0.1","1543"
"2002","Jose Macias","- - -","123","373","7","43","39","8","5.6 %","15.3 %",".130",".277",".249",".293",".379",".294","74","-0.3","-12.1","-1.6","-0.1","476"
"2009","Brooks Conrad","Braves","30","58","2","7","8","0","5.2 %","24.1 %",".204",".237",".204",".259",".407",".281","67","0.3","-2.1","-1.2","-0.1","3664"
"2009","Dusty Ryan","Tigers","12","30","0","1","4","0","13.3 %","40.0 %",".038",".286",".154",".267",".192",".226","26","-0.8","-3.6","1.1","-0.1","2312"
"2000","Harold Baines","- - -","96","320","11","26","39","0","11.3 %","15.6 %",".163",".274",".254",".338",".417",".325","89","0.0","-4.7","-8.4","-0.1","1000434"
"2002","Larry Sutton","Athletics","7","20","1","3","3","0","5.0 %","40.0 %",".158",".100",".105",".150",".263",".181","2","0.2","-2.2","0.1","-0.1","939"
"2006","Alberto Callaspo","Diamondbacks","23","47","0","2","6","0","8.5 %","12.8 %",".071",".270",".238",".298",".310",".271","52","-0.1","-3.0","-0.1","-0.1","3336"
"2001","Jared Sandberg","Devil Rays","39","149","1","13","15","1","6.7 %","30.2 %",".074",".300",".206",".265",".279",".246","44","0.2","-10.3","3.6","-0.1","1224"
"2003","J.J. Davis","Pirates","19","38","1","1","4","0","7.9 %","34.2 %",".086",".286",".200",".263",".286",".249","44","-0.3","-3.1","0.3","-0.1","1597"
"2004","Homer Bush","Yankees","9","8","0","2","0","1","0.0 %","25.0 %",".000",".000",".000",".125",".000",".092","-59","0.1","-1.5","-0.3","-0.1","1425"
"2008","Paul McAnulty","Padres","66","164","3","9","13","0","15.9 %","25.0 %",".133",".272",".207",".341",".341",".310","92","1.0","-0.7","-6.1","-0.1","4409"
"2004","Tony Alvarez","Pirates","24","45","1","5","8","0","8.9 %","15.6 %",".132",".219",".211",".289",".342",".278","61","0.1","-2.2","-0.9","-0.1","1587"
"2007","Joe Koshansky","Rockies","17","15","0","0","2","0","13.3 %","33.3 %",".083",".125",".083",".200",".167",".178","-11","0.2","-2.0","0.0","-0.1","7547"
"2007","Donny Lucy","White Sox","8","15","0","0","0","0","0.0 %","40.0 %",".000",".333",".200",".200",".200",".179","-6","-0.1","-2.1","0.1","-0.1","7498"
"2006","Tony Batista","Twins","50","195","5","24","21","0","7.7 %","13.8 %",".152",".253",".236",".303",".388",".301","79","-0.9","-6.2","-2.1","-0.1","124"
"2000","Vernon Wells","Blue Jays","3","2","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.6","-1.0","-0.1","1326"
"2003","Jason Ellison","Giants","7","10","0","1","0","0","0.0 %","10.0 %",".000",".111",".100",".100",".100",".089","-57","0.1","-1.9","0.1","-0.1","1704"
"2003","Francisco Santos","Giants","8","15","1","2","1","0","0.0 %","20.0 %",".333",".182",".200",".200",".533",".300","80","-0.4","-0.8","-1.2","-0.1","1742"
"2003","Jason Grabowski","Athletics","8","9","0","0","0","0","11.1 %","55.6 %",".000",".000",".000",".111",".000",".078","-68","0.0","-1.9","0.1","-0.1","1604"
"2004","Orlando Palmeiro","Astros","102","156","3","19","12","2","11.5 %","12.2 %",".105",".261",".241",".344",".346",".312","83","-0.6","-4.0","-2.8","-0.1","28"
"2008","Justin Christian","Yankees","24","43","0","6","6","7","7.0 %","9.3 %",".075",".278",".250",".302",".325",".283","68","1.4","-0.4","-2.6","-0.1","8297"
"2000","Gookie Dawkins","Reds","14","44","0","5","3","0","4.5 %","15.9 %",".049",".265",".220",".256",".268",".226","21","0.0","-4.7","1.5","-0.1","316"
"2001","Gary Bennett","- - -","46","148","2","15","10","0","8.1 %","16.2 %",".107",".280",".244",".308",".351",".280","58","0.0","-8.2","1.8","-0.2","420"
"2004","Ken Griffey Jr.","Reds","83","348","20","49","60","1","12.6 %","19.3 %",".260",".260",".253",".351",".513",".366","118","-1.9","6.4","-19.7","-0.2","327"
"2009","Travis Snider","Blue Jays","77","276","9","34","29","1","10.5 %","28.3 %",".178",".316",".241",".328",".419",".329","96","-0.6","-2.0","-9.0","-0.2","2830"
"2000","Matt Walbeck","Angels","47","155","6","17","12","0","4.5 %","14.2 %",".158",".195",".199",".240",".356",".259","44","-0.4","-12.2","4.8","-0.2","501"
"2000","Ben Davis","Padres","43","148","3","12","14","1","9.5 %","23.6 %",".115",".280",".223",".297",".338",".283","67","-0.2","-7.0","0.5","-0.2","1074"
"2004","Alan Zinter","Diamondbacks","28","40","1","2","6","0","12.5 %","37.5 %",".147",".316",".206",".300",".353",".289","64","0.3","-1.6","-1.4","-0.2","581"
"2008","Edwin Maysonet","Astros","7","7","0","0","0","0","0.0 %","28.6 %",".000",".200",".143",".143",".143",".128","-34","0.0","-1.2","-0.6","-0.2","5735"
"2006","Melvin Dorta","Nationals","15","20","0","3","0","0","5.0 %","10.0 %",".053",".235",".211",".250",".263",".231","34","-0.8","-2.5","0.2","-0.2","2562"
"2003","Dave Kelton","Cubs","10","12","0","1","1","0","0.0 %","41.7 %",".083",".286",".167",".167",".250",".178","-2","0.1","-1.5","-0.5","-0.2","285"
"2007","Brad Ausmus","Astros","117","397","3","38","25","6","9.3 %","18.6 %",".089",".289",".235",".318",".324",".290","70","-1.8","-17.2","2.5","-0.2","546"
"2005","Miguel Olivo","- - -","91","281","9","30","34","7","2.8 %","28.5 %",".150",".272",".217",".246",".367",".262","60","-4.0","-17.8","6.9","-0.2","1638"
"2000","Gary Matthews Jr.","Cubs","80","175","4","24","14","3","8.6 %","16.0 %",".108",".206",".190",".264",".297",".253","42","0.6","-13.3","5.2","-0.2","153"
"2006","Bill Mueller","Dodgers","32","126","3","12","15","1","13.5 %","7.1 %",".150",".250",".252",".357",".402",".328","96","-1.7","-2.4","-3.4","-0.2","295"
"2001","Marcus Jensen","- - -","12","29","0","0","2","0","0.0 %","34.5 %",".034",".263",".172",".172",".207",".165","-15","0.0","-4.2","1.6","-0.2","691"
"2003","Esteban German","Athletics","5","4","0","0","1","0","0.0 %","25.0 %",".000",".333",".250",".250",".250",".223","28","-0.4","-0.8","-0.9","-0.2","1449"
"2001","Eddie Taubensee","Indians","52","128","3","16","11","0","7.8 %","14.8 %",".112",".277",".250",".315",".362",".297","78","0.0","-3.5","-2.4","-0.2","1012845"
"2006","Chris Roberson","Phillies","57","43","0","9","1","3","0.0 %","20.9 %",".049",".250",".195",".214",".244",".203","10","1.4","-3.7","0.7","-0.2","3577"
"2005","Jeff Conine","Marlins","131","384","3","42","33","2","9.9 %","15.1 %",".099",".354",".304",".374",".403",".343","110","-3.2","1.5","-15.5","-0.2","131"
"2003","Augie Ojeda","Cubs","12","27","0","2","0","0","3.7 %","18.5 %",".000",".150",".120",".185",".120",".131","-33","0.3","-4.3","1.8","-0.2","297"
"2004","Chris Shelton","Tigers","27","56","1","6","3","0","16.1 %","25.0 %",".087",".250",".196",".321",".283",".283","69","-0.5","-2.8","-0.8","-0.2","1891"
"2007","John Gall","Marlins","3","5","0","0","0","0","0.0 %","20.0 %",".000",".000",".000",".200",".000",".148","-22","-1.0","-1.8","0.0","-0.2","2142"
"2006","Pablo Ozuna","White Sox","79","203","2","25","17","6","3.4 %","7.9 %",".116",".351",".328",".365",".444",".354","108","-0.3","1.9","-10.5","-0.2","1469"
"2003","Ken Huckaby","Blue Jays","5","11","0","1","2","0","0.0 %","18.2 %",".091",".222",".182",".182",".273",".195","6","0.1","-1.2","-0.8","-0.2","1306"
"2007","Josh Paul","Devil Rays","35","115","1","8","9","1","5.2 %","26.1 %",".057",".257",".190",".234",".248",".219","25","1.8","-9.0","3.4","-0.2","251"
"2007","Omar Infante","Tigers","66","178","2","24","17","4","5.1 %","16.3 %",".084",".316",".271",".307",".355",".294","73","1.7","-4.3","-3.5","-0.2","1609"
"2001","Angel Pena","Dodgers","22","58","1","3","2","0","1.7 %","29.3 %",".074",".270",".204",".214",".278",".213","27","0.0","-5.6","2.0","-0.2","1010141"
"2004","Jeff Liefer","Brewers","16","31","1","2","5","0","6.5 %","25.8 %",".179",".250",".214",".258",".393",".276","60","-0.3","-1.9","-0.8","-0.2","245"
"2000","Matt Franco","Mets","101","157","2","9","14","0","13.4 %","14.0 %",".075",".270",".239",".340",".313",".296","72","0.0","-6.0","-1.1","-0.2","1499"
